OCC_CODE,OCC_TITLE,OCC_GROUP,TOT_EMP,H_MEAN,A_MEAN,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,NUM_PAST,NUM_FUTURE,PCT_GROWTH,ENTRY_ED,WORK_EXP,CAT_SMALL,CAT_BIG
25-3021,Self-Enrichment Education Teachers,detailed,"187,180",19.56,"40,680",8.93,11.64,17.07,24.69,34.06,"18,580","24,220","35,500","51,360","70,850",316.2,360.1,13.9,High school diploma or equivalent,Less than 5 years,Other Teachers and Instructors,Education
25-3099,"Teachers and Instructors, All Other, Except Substitute Teachers",detailed,"270,290",*,"48,750",*,*,*,*,*,"19,350","26,450","42,970","63,150","84,340",981.6,"1,057.50",7.7,Bachelor's degree,None,Other Teachers and Instructors,Education
25-4011,Archivists,detailed,"5,560",25.32,"52,670",13.66,18.05,23.61,31.03,40.53,"28,420","37,550","49,110","64,550","84,310",6.5,7.6,16.6,Master's degree,None,"Librarians, Curators, and Archivists",Education
25-4012,Curators,detailed,"10,910",26.74,"55,620",13.68,17.92,24.3,33.19,42.3,"28,450","37,270","50,550","69,030","87,980",11.4,12.9,12.5,Master's degree,None,"Librarians, Curators, and Archivists",Education
25-4013,Museum Technicians and Conservators,detailed,"9,860",21.31,"44,330",11.27,15,19.24,25.99,34.59,"23,440","31,200","40,020","54,050","71,950",11.3,12.1,7.1,Bachelor's degree,None,"Librarians, Curators, and Archivists",Education
25-4021,Librarians,detailed,"136,510",27.67,"57,550",16.05,21.1,26.78,33.66,41.5,"33,380","43,890","55,690","70,010","86,320",148.4,159.4,7.4,Master's degree,None,"Librarians, Curators, and Archivists",Education
25-4031,Library Technicians,detailed,"95,980",15.86,"33,000",9.05,11.41,15.04,19.39,23.87,"18,820","23,740","31,280","40,320","49,650",106.2,115.2,8.4,Postsecondary non-degree award,None,"Librarians, Curators, and Archivists",Education
25-9011,Audio-Visual and Multimedia Collections Specialists,detailed,"8,840",22.52,"46,840",12.02,15.57,21.33,28.32,35.28,"25,010","32,380","44,360","58,900","73,380",9.7,9.6,-0.8,Bachelor's degree,Less than 5 years,"Other Education, Training, and Library Occupations",Education
25-9021,Farm and Home Management Advisors,detailed,"9,120",23.56,"49,010",12.22,16.37,22.29,29.52,36.57,"25,420","34,060","46,370","61,400","76,060",13.7,15,9.7,Master's degree,None,"Other Education, Training, and Library Occupations",Education
25-9031,Instructional Coordinators,detailed,"133,840",30.32,"63,070",16.83,22.1,29.14,37.25,45.12,"35,000","45,970","60,610","77,480","93,840",147.7,166.2,12.5,Master's degree,5 years or more,"Other Education, Training, and Library Occupations",Education
25-9041,Teacher Assistants,detailed,"1,190,720",*,"25,570",*,*,*,*,*,"17,300","19,430","24,000","30,190","36,770","1,223.40","1,328.50",8.6,"Some college, no degree",None,"Other Education, Training, and Library Occupations",Education
25-9099,"Education, Training, and Library Workers, All Other",detailed,"105,930",19.8,"41,190",9.92,12.81,17.65,24.01,34.03,"20,620","26,650","36,700","49,940","70,780",116,124.2,7.1,Bachelor's degree,None,"Other Education, Training, and Library Occupations",Education
27-1011,Art Directors,detailed,"32,250",46.46,"96,650",21.39,28.34,39.9,57.78,81.47,"44,500","58,950","83,000","120,190","169,450",74.8,77,3,Bachelor's degree,5 years or more,Art and Design Workers,Media
27-1012,Craft Artists,detailed,"4,750",17.6,"36,600",8.7,10.77,14.62,21.94,31.09,"18,100","22,400","30,400","45,640","64,670",11.2,11.6,3.3,High school diploma or equivalent,None,Art and Design Workers,Media
27-1013,"Fine Artists, Including Painters, Sculptors, and Illustrators",detailed,"11,980",24.47,"50,900",8.87,13.06,20.48,29.97,43.84,"18,450","27,160","42,610","62,350","91,200",28.8,29.9,3.8,High school diploma or equivalent,None,Art and Design Workers,Media
27-1014,Multimedia Artists and Animators,detailed,"30,790",34.81,"72,400",16.83,22.4,30.99,42.67,57.16,"35,010","46,590","64,470","88,750","118,890",68.9,73.2,6.3,Bachelor's degree,None,Art and Design Workers,Media
27-1019,"Artists and Related Workers, All Other",detailed,"7,470",28.11,"58,460",10.09,16.36,25.83,39.59,47.08,"20,980","34,020","53,720","82,350","97,930",11.4,11.2,-1.5,High school diploma or equivalent,None,Art and Design Workers,Media
27-1021,Commercial and Industrial Designers,detailed,"28,540",31.04,"64,570",17.08,22.24,29.99,38.3,46.43,"35,530","46,250","62,370","79,670","96,570",39.2,40.9,4.4,Bachelor's degree,None,Art and Design Workers,Media
27-1022,Fashion Designers,detailed,"17,370",35.37,"73,570",16.14,21.45,30.65,42.92,61.15,"33,580","44,620","63,760","89,270","127,190",22.3,21.7,-3,Bachelor's degree,None,Art and Design Workers,Media
27-1023,Floral Designers,detailed,"46,490",12.55,"26,100",8.51,9.67,11.65,14.54,17.89,"17,690","20,120","24,220","30,240","37,210",62.4,57.3,-8,High school diploma or equivalent,None,Art and Design Workers,Media
27-1024,Graphic Designers,detailed,"194,360",23.85,"49,610",12.83,16.36,21.55,29.09,38.11,"26,690","34,040","44,830","60,510","79,260",259.5,276.9,6.7,Bachelor's degree,None,Art and Design Workers,Media
27-1025,Interior Designers,detailed,"43,710",26.06,"54,200",12.73,16.97,23.32,32.26,42.82,"26,490","35,290","48,500","67,110","89,060",54.9,61.9,12.8,Bachelor's degree,None,Art and Design Workers,Media
27-1026,Merchandise Displayers and Window Trimmers,detailed,"72,590",14.39,"29,930",9,10.57,13.21,16.86,21.68,"18,730","21,980","27,470","35,070","45,100",98.7,108.7,10.1,High school diploma or equivalent,None,Art and Design Workers,Media
27-1027,Set and Exhibit Designers,detailed,"9,750",25.96,"53,990",11.44,16.35,24.04,32.82,42,"23,790","34,010","50,000","68,270","87,350",11.4,12.1,6.3,Bachelor's degree,None,Art and Design Workers,Media
27-1029,"Designers, All Other",detailed,"7,330",25.34,"52,700",10.15,15.32,22.61,32.64,44.92,"21,120","31,860","47,020","67,880","93,430",10.2,11,8,Bachelor's degree,None,Art and Design Workers,Media
27-2011,Actors,detailed,"63,230",41.94,*,9.05,13.11,22.15,56.38,#,*,*,*,*,*,79.8,83,4.1,"Some college, no degree",None,"Entertainers and Performers, Sports and Related Workers",Media
27-2012,Producers and Directors,detailed,"92,510",43.38,"90,240",15.21,21.67,33.4,53.55,89.92,"31,650","45,070","69,480","111,380","187,040",103.5,106.4,2.8,Bachelor's degree,Less than 5 years,"Entertainers and Performers, Sports and Related Workers",Media
27-2021,Athletes and Sports Competitors,detailed,"13,880",*,"71,850",*,*,*,*,*,"18,630","26,950","39,050","73,460",#,14.9,15.9,6.7,High school diploma or equivalent,None,"Entertainers and Performers, Sports and Related Workers",Media
27-2022,Coaches and Scouts,detailed,"206,080",*,"37,610",*,*,*,*,*,"17,340","19,330","29,150","46,190","66,830",243.9,280.1,14.8,Bachelor's degree,None,"Entertainers and Performers, Sports and Related Workers",Media
27-2023,"Umpires, Referees, and Other Sports Officials",detailed,"16,140",*,"33,020",*,*,*,*,*,"17,240","18,730","23,900","36,880","53,170",17.5,18.8,7.7,High school diploma or equivalent,None,"Entertainers and Performers, Sports and Related Workers",Media
27-2031,Dancers,detailed,"11,540",20,*,8.47,9.69,14.87,23.38,34.22,*,*,*,*,*,15.6,16.5,5.9,High school diploma or equivalent,None,"Entertainers and Performers, Sports and Related Workers",Media
27-2032,Choreographers,detailed,"6,300",24,"49,930",9.2,13.71,21.22,31.66,45.59,"19,140","28,510","44,130","65,850","94,830",10.2,12.7,24.3,High school diploma or equivalent,5 years or more,"Entertainers and Performers, Sports and Related Workers",Media
27-2041,Music Directors and Composers,detailed,"23,190",26.23,"54,560",10.64,16.96,23.24,31.21,42.3,"22,130","35,280","48,330","64,910","87,970",77.6,81.1,4.5,Bachelor's degree,Less than 5 years,"Entertainers and Performers, Sports and Related Workers",Media
27-2042,Musicians and Singers,detailed,"39,260",32.1,*,8.88,12.92,23.74,40.05,68.63,*,*,*,*,*,167.4,176.2,5.2,High school diploma or equivalent,None,"Entertainers and Performers, Sports and Related Workers",Media
27-2099,"Entertainers and Performers, Sports and Related Workers, All Other",detailed,"16,440",25.69,*,8.66,11.1,17.11,26.35,43.36,*,*,*,*,*,36.6,39.2,7.3,High school diploma or equivalent,None,"Entertainers and Performers, Sports and Related Workers",Media
27-3011,Radio and Television Announcers,detailed,"30,530",20.1,"41,800",8.39,9.62,13.95,21.48,36.46,"17,450","20,000","29,020","44,680","75,850",41.3,41.2,-0.1,Bachelor's degree,None,Media and Communication Workers,Media
27-3012,Public Address System and Other Announcers,detailed,"7,480",18.6,"38,690",8.28,9.2,12.01,20.29,32.56,"17,210","19,140","24,990","42,210","67,720",10.7,11.5,7.6,High school diploma or equivalent,None,Media and Communication Workers,Media
27-3021,Broadcast News Analysts,detailed,"4,820",40.73,"84,710",13.46,18.22,29.07,50.32,89.55,"28,000","37,890","60,470","104,670","186,260",5.9,5.8,-2.3,Bachelor's degree,None,Media and Communication Workers,Media
27-3022,Reporters and Correspondents,detailed,"43,630",21.33,"44,360",9.96,12.74,17.11,25.61,37.19,"20,710","26,500","35,600","53,270","77,360",51.7,44.6,-13.8,Bachelor's degree,None,Media and Communication Workers,Media
27-3031,Public Relations Specialists,detailed,"202,530",30.3,"63,020",14.8,19.37,26.41,36.14,49.64,"30,790","40,290","54,940","75,180","103,240",229.1,256.5,12,Bachelor's degree,None,Media and Communication Workers,Media
27-3041,Editors,detailed,"98,790",30.2,"62,820",14.09,18.84,26.04,36.07,51.05,"29,300","39,190","54,150","75,030","106,190",115.3,112.5,-2.4,Bachelor's degree,Less than 5 years,Media and Communication Workers,Media
27-3042,Technical Writers,detailed,"47,300",33.8,"70,290",19.36,24.93,32.64,41.51,50.85,"40,270","51,850","67,900","86,340","105,760",49.5,56.9,14.8,Bachelor's degree,Less than 5 years,Media and Communication Workers,Media
27-3043,Writers and Authors,detailed,"43,590",33.3,"69,250",13.61,19.29,27.77,40.48,56.27,"28,310","40,130","57,750","84,190","117,050",129.1,132.9,3,Bachelor's degree,None,Media and Communication Workers,Media
27-3091,Interpreters and Translators,detailed,"49,060",23.04,"47,920",10.66,14.7,20.39,28.33,37.09,"22,180","30,580","42,420","58,930","77,140",63.6,92.9,46.1,Bachelor's degree,None,Media and Communication Workers,Media
27-3099,"Media and Communication Workers, All Other",detailed,"26,040",25.44,"52,910",10.7,15.23,21.73,32.06,43.3,"22,260","31,680","45,200","66,680","90,060",30.7,32.3,4.9,High school diploma or equivalent,None,Media and Communication Workers,Media
27-4011,Audio and Video Equipment Technicians,detailed,"56,440",22.03,"45,830",10.82,14.69,19.83,28.02,35.75,"22,500","30,550","41,250","58,280","74,350",67.7,76.9,13.7,Postsecondary non-degree award,None,Media and Communication Equipment Workers,Media
27-4012,Broadcast Technicians,detailed,"27,800",20.02,"41,630",8.91,11.42,17.65,26.25,35.75,"18,540","23,760","36,710","54,590","74,350",36.7,37.9,3.2,Associate's degree,None,Media and Communication Equipment Workers,Media
27-4013,Radio Operators,detailed,"1,160",21.74,"45,210",9.31,15.93,21.45,26.69,34.57,"19,360","33,130","44,620","55,520","71,910",1.4,1.4,1.2,High school diploma or equivalent,None,Media and Communication Equipment Workers,Media
27-4014,Sound Engineering Technicians,detailed,"13,480",27.22,"56,610",10.66,15.68,22.35,35.03,48.96,"22,180","32,610","46,480","72,860","101,840",17,17.1,0.7,Postsecondary non-degree award,None,Media and Communication Equipment Workers,Media
27-4021,Photographers,detailed,"54,830",17.88,"37,190",8.55,9.88,14.08,21.63,31.9,"17,770","20,550","29,280","44,980","66,360",136.3,142.2,4.3,High school diploma or equivalent,None,Media and Communication Equipment Workers,Media
27-4031,"Camera Operators, Television, Video, and Motion Picture",detailed,"16,860",25.26,"52,530",9.89,14.03,20.45,30.37,44.18,"20,560","29,190","42,530","63,170","91,890",21.4,22.6,5.5,Bachelor's degree,None,Media and Communication Equipment Workers,Media
27-4032,Film and Video Editors,detailed,"21,920",33.41,"69,490",12.48,16.76,26.2,44.12,61.78,"25,960","34,860","54,490","91,780","128,500",28.1,28.3,0.6,Bachelor's degree,None,Media and Communication Equipment Workers,Media
27-4099,"Media and Communication Equipment Workers, All Other",detailed,"16,090",32,"66,570",11.78,20.6,32.52,41.91,51.29,"24,500","42,850","67,640","87,170","106,680",14.8,14.6,-1.5,High school diploma or equivalent,None,Media and Communication Equipment Workers,Media
29-1011,Chiropractors,detailed,"28,850",37.7,"78,410",14.9,21.46,31.4,45.71,68,"30,980","44,640","65,300","95,070","141,440",44.4,50.9,14.6,Doctoral or professional degree,None,Health Diagnosing and Treating Practitioners,Healthcare
29-1021,"Dentists, General",detailed,"96,000",79.12,"164,570",34.73,50.73,70.36,#,#,"72,240","105,520","146,340",#,#,125.8,146.4,16.3,Doctoral or professional degree,None,Health Diagnosing and Treating Practitioners,Healthcare
29-1022,Oral and Maxillofacial Surgeons,detailed,"5,280",105.27,"218,960",45.18,77.79,#,#,#,"93,970","161,800",#,#,#,6.7,7.8,16.1,Doctoral or professional degree,None,Health Diagnosing and Treating Practitioners,Healthcare
29-1023,Orthodontists,detailed,"5,570",94.36,"196,270",40.5,60.72,#,#,#,"84,230","126,290",#,#,#,7.5,8.7,16.3,Doctoral or professional degree,None,Health Diagnosing and Treating Practitioners,Healthcare
29-1024,Prosthodontists,detailed,290,61.69,"128,310",25.86,38.16,43.87,86.53,#,"53,800","79,360","91,260","179,980",#,0.4,0.5,15,Doctoral or professional degree,None,Health Diagnosing and Treating Practitioners,Healthcare
29-1029,"Dentists, All Other Specialists",detailed,"5,160",81.9,"170,340",36.92,55.02,78.58,#,#,"76,790","114,450","163,450",#,#,6.4,6.8,6.3,Doctoral or professional degree,None,Health Diagnosing and Treating Practitioners,Healthcare
29-1031,Dietitians and Nutritionists,detailed,"59,530",27.07,"56,300",16.34,21.35,26.88,32.93,37.85,"33,980","44,400","55,920","68,490","78,720",67.4,81.6,21.1,Bachelor's degree,None,Health Diagnosing and Treating Practitioners,Healthcare
29-1041,Optometrists,detailed,"32,040",53.67,"111,640",25.35,36.88,48.7,63.51,89.1,"52,720","76,720","101,290","132,100","185,320",33.1,41.2,24.4,Doctoral or professional degree,None,Health Diagnosing and Treating Practitioners,Healthcare
29-1051,Pharmacists,detailed,"287,420",56.01,"116,500",42.79,50.19,57.35,65.56,70.84,"89,000","104,400","119,280","136,360","147,350",286.4,327.8,14.5,Doctoral or professional degree,None,Health Diagnosing and Treating Practitioners,Healthcare
29-1061,Anesthesiologists,detailed,"30,200",113.01,"235,070",62.8,#,#,#,#,"130,620",#,#,#,#,33.9,42.1,24.4,Doctoral or professional degree,None,Health Diagnosing and Treating Practitioners,Healthcare
29-1062,Family and General Practitioners,detailed,"120,860",88.43,"183,940",36.81,62.87,84.87,#,#,"76,560","130,780","176,530",#,#,124,142.1,14.6,Doctoral or professional degree,None,Health Diagnosing and Treating Practitioners,Healthcare
29-1063,"Internists, General",detailed,"46,410",90.6,"188,440",29.26,62.32,89.83,#,#,"60,870","129,630","186,850",#,#,51.3,58.6,14.1,Doctoral or professional degree,None,Health Diagnosing and Treating Practitioners,Healthcare
29-1064,Obstetricians and Gynecologists,detailed,"21,730",102.2,"212,570",52.67,76.71,#,#,#,"109,550","159,550",#,#,#,23.6,27,14.4,Doctoral or professional degree,None,Health Diagnosing and Treating Practitioners,Healthcare
29-1065,"Pediatricians, General",detailed,"30,890",81.98,"170,530",41.92,60.5,75.78,#,#,"87,190","125,850","157,610",#,#,34.7,40.1,15.7,Doctoral or professional degree,None,Health Diagnosing and Treating Practitioners,Healthcare
29-1066,Psychiatrists,detailed,"25,040",87.82,"182,660",33.55,58.8,86.03,#,#,"69,790","122,300","178,950",#,#,27.2,31.6,16.2,Doctoral or professional degree,None,Health Diagnosing and Treating Practitioners,Healthcare
29-1067,Surgeons,detailed,"41,030",112.09,"233,150",61.21,#,#,#,#,"127,320",#,#,#,#,47.9,59,23.2,Doctoral or professional degree,None,Health Diagnosing and Treating Practitioners,Healthcare
29-1069,"Physicians and Surgeons, All Other",detailed,"307,220",90,"187,200",26.95,54.22,#,#,#,"56,050","112,780",#,#,#,348.9,414.2,18.7,Doctoral or professional degree,None,Health Diagnosing and Treating Practitioners,Healthcare
29-1071,Physician Assistants,detailed,"88,110",45.36,"94,350",29.82,38.38,44.7,53.57,62.8,"62,030","79,820","92,970","111,430","130,620",86.7,120,38.4,Master's degree,None,Health Diagnosing and Treating Practitioners,Healthcare
29-1081,Podiatrists,detailed,"8,850",64.94,"135,070",25.44,39.45,56.83,82.29,#,"52,910","82,050","118,210","171,170",#,10.7,13.1,22.5,Doctoral or professional degree,None,Health Diagnosing and Treating Practitioners,Healthcare
29-1122,Occupational Therapists,detailed,"108,410",37.45,"77,890",24.67,30.57,36.99,44.04,52.59,"51,310","63,580","76,940","91,600","109,380",113.2,146.1,29,Master's degree,None,Health Diagnosing and Treating Practitioners,Healthcare
29-1123,Physical Therapists,detailed,"195,670",39.51,"82,180",27.06,32.55,38.96,45.11,54.49,"56,280","67,700","81,030","93,820","113,340",204.2,277.7,36,Doctoral or professional degree,None,Health Diagnosing and Treating Practitioners,Healthcare
29-1124,Radiation Therapists,detailed,"16,950",39.3,"81,740",25.48,30.91,38.05,46.18,55.24,"53,010","64,300","79,140","96,050","114,900",19.1,23.6,23.5,Associate's degree,None,Health Diagnosing and Treating Practitioners,Healthcare
29-1125,Recreational Therapists,detailed,"18,640",21.88,"45,520",13.04,16.3,20.76,26.91,33.15,"27,120","33,910","43,180","55,970","68,950",19.8,22.5,13.4,Bachelor's degree,None,Health Diagnosing and Treating Practitioners,Healthcare
29-1126,Respiratory Therapists,detailed,"118,640",27.83,"57,880",19.76,22.97,27.06,32.4,36.9,"41,110","47,770","56,290","67,390","76,750",119.3,142.1,19.1,Associate's degree,None,Health Diagnosing and Treating Practitioners,Healthcare
29-1127,Speech-Language Pathologists,detailed,"125,050",35.56,"73,970",21.57,26.76,34.04,42.87,52.79,"44,860","55,660","70,810","89,170","109,800",134.1,160.1,19.4,Master's degree,None,Health Diagnosing and Treating Practitioners,Healthcare
29-1128,Exercise Physiologists,detailed,"6,010",23.46,"48,790",15.19,18.08,22.12,27.96,34.8,"31,590","37,610","46,020","58,150","72,390",6,6.5,9.2,Bachelor's degree,None,Health Diagnosing and Treating Practitioners,Healthcare
29-1129,"Therapists, All Other",detailed,"11,280",28.18,"58,610",15.46,20.01,26.61,34.66,43.64,"32,160","41,630","55,350","72,080","90,780",28.8,37.9,31.7,Bachelor's degree,None,Health Diagnosing and Treating Practitioners,Healthcare
29-1131,Veterinarians,detailed,"59,230",46.22,"96,140",25.61,33.18,41.66,53.83,71.89,"53,270","69,020","86,640","111,960","149,530",70.3,78.7,12,Doctoral or professional degree,None,Health Diagnosing and Treating Practitioners,Healthcare
29-1141,Registered Nurses,detailed,"2,661,890",33.13,"68,910",21.94,26.05,31.84,38.55,46.31,"45,630","54,180","66,220","80,190","96,320","2,711.50","3,238.40",19.4,Associate's degree,None,Health Diagnosing and Treating Practitioners,Healthcare
29-1151,Nurse Anesthetists,detailed,"35,430",75.81,"157,690",50.97,62.28,72.64,86.19,#,"106,010","129,550","151,090","179,270",#,35.2,43.9,24.9,Master's degree,None,Health Diagnosing and Treating Practitioners,Healthcare
29-1161,Nurse Midwives,detailed,"5,460",44.34,"92,230",30.2,37.85,44.37,52.36,57.95,"62,820","78,730","92,290","108,910","120,540",6,7.7,28.6,Master's degree,None,Health Diagnosing and Treating Practitioners,Healthcare
29-1171,Nurse Practitioners,detailed,"113,370",45.71,"95,070",32.19,38.73,44.55,52.95,60.69,"66,960","80,560","92,670","110,130","126,250",110.2,147.3,33.7,Master's degree,None,Health Diagnosing and Treating Practitioners,Healthcare
29-1181,Audiologists,detailed,"11,550",35.75,"74,360",21.7,27.79,34.22,41.97,50.72,"45,140","57,800","71,170","87,300","105,490",13,17.3,33.6,Doctoral or professional degree,None,Health Diagnosing and Treating Practitioners,Healthcare
29-1199,"Health Diagnosing and Treating Practitioners, All Other",detailed,"33,070",41.69,"86,720",19.76,26.3,35.04,51.88,69.42,"41,100","54,690","72,870","107,900","144,380",47.2,50.9,7.9,Master's degree,None,Health Diagnosing and Treating Practitioners,Healthcare
29-2011,Medical and Clinical Laboratory Technologists,detailed,"162,630",28.59,"59,460",19.2,23.61,28.09,33.61,38.86,"39,940","49,100","58,430","69,900","80,820",164.3,187.1,13.8,Bachelor's degree,None,Health Technologists and Technicians,Healthcare
29-2012,Medical and Clinical Laboratory Technicians,detailed,"157,080",19.35,"40,240",12.12,14.71,18.26,23,28.32,"25,210","30,600","37,970","47,830","58,910",161.5,209.4,29.7,Associate's degree,None,Health Technologists and Technicians,Healthcare
29-2021,Dental Hygienists,detailed,"192,330",34.39,"71,530",23.02,28.66,34.19,41.02,46.49,"47,880","59,600","71,110","85,310","96,690",192.8,256.9,33.3,Associate's degree,None,Health Technologists and Technicians,Healthcare
29-2031,Cardiovascular Technologists and Technicians,detailed,"51,010",25.95,"53,990",13.37,17.88,25.58,33.22,39.87,"27,810","37,200","53,210","69,090","82,920",51.6,67.3,30.4,Associate's degree,None,Health Technologists and Technicians,Healthcare
29-2032,Diagnostic Medical Sonographers,detailed,"58,250",32.29,"67,170",22.04,26.36,31.93,37.43,44.26,"45,840","54,830","66,410","77,860","92,070",58.8,85.9,46,Associate's degree,None,Health Technologists and Technicians,Healthcare
29-2033,Nuclear Medicine Technologists,detailed,"20,020",34.6,"71,970",24.72,29.51,34.19,40.33,45.31,"51,410","61,390","71,120","83,890","94,250",20.9,25.1,20.2,Associate's degree,None,Health Technologists and Technicians,Healthcare
29-2034,Radiologic Technologists,detailed,"194,000",27.29,"56,760",18.06,21.61,26.54,32.38,37.71,"37,570","44,950","55,200","67,360","78,440",199.2,240.8,20.8,Associate's degree,None,Health Technologists and Technicians,Healthcare
29-2035,Magnetic Resonance Imaging Technologists,detailed,"32,000",31.71,"65,960",22.03,26.37,31.75,36.7,43.35,"45,820","54,860","66,050","76,330","90,160",30.1,37.2,23.6,Associate's degree,Less than 5 years,Health Technologists and Technicians,Healthcare
29-2041,Emergency Medical Technicians and Paramedics,detailed,"237,660",16.77,"34,870",9.82,11.92,15.04,19.94,26.3,"20,420","24,800","31,270","41,470","54,710",239.1,294.4,23.1,Postsecondary non-degree award,None,Health Technologists and Technicians,Healthcare
29-2051,Dietetic Technicians,detailed,"26,420",13.74,"28,580",8.63,9.91,12.32,16.35,21.14,"17,960","20,600","25,620","34,000","43,960",25.1,29.6,18,Associate's degree,None,Health Technologists and Technicians,Healthcare
29-2052,Pharmacy Technicians,detailed,"362,690",14.83,"30,840",9.92,11.75,14.25,17.44,20.78,"20,640","24,440","29,650","36,270","43,230",355.3,426.1,19.9,High school diploma or equivalent,None,Health Technologists and Technicians,Healthcare
29-2053,Psychiatric Technicians,detailed,"66,760",16.09,"33,470",9.87,11.46,14.37,19.1,26.14,"20,530","23,840","29,880","39,720","54,380",71,73.8,3.9,Postsecondary non-degree award,None,Health Technologists and Technicians,Healthcare
29-2054,Respiratory Therapy Technicians,detailed,"12,070",23.01,"47,850",15.17,18.59,22.61,27.51,32.44,"31,550","38,670","47,040","57,220","67,470",13.6,15.9,16.9,Associate's degree,None,Health Technologists and Technicians,Healthcare
29-2055,Surgical Technologists,detailed,"97,930",21.36,"44,420",14.64,16.91,20.54,25.13,29.47,"30,450","35,180","42,720","52,270","61,300",98.5,127.8,29.8,Postsecondary non-degree award,None,Health Technologists and Technicians,Healthcare
29-2056,Veterinary Technologists and Technicians,detailed,"87,870",15.27,"31,760",10.23,12.21,14.66,17.72,21.39,"21,270","25,400","30,500","36,860","44,490",84.8,109.8,29.5,Associate's degree,None,Health Technologists and Technicians,Healthcare
29-2057,Ophthalmic Medical Technicians,detailed,"33,740",17.44,"36,280",11.6,13.81,16.8,20.47,24.23,"24,120","28,720","34,940","42,570","50,390",29.6,38.4,29.8,Postsecondary non-degree award,None,Health Technologists and Technicians,Healthcare
29-2061,Licensed Practical and Licensed Vocational Nurses,detailed,"705,200",20.63,"42,910",15.05,16.99,20.15,23.52,27.9,"31,300","35,340","41,920","48,920","58,020",738.4,921.3,24.8,Postsecondary non-degree award,None,Health Technologists and Technicians,Healthcare
29-2071,Medical Records and Health Information Technicians,detailed,"180,760",18.13,"37,710",10.91,13.23,16.81,21.76,27.56,"22,700","27,520","34,970","45,260","57,320",186.3,227.5,22.1,Postsecondary non-degree award,None,Health Technologists and Technicians,Healthcare
29-2081,"Opticians, Dispensing",detailed,"68,390",17.17,"35,710",10.24,12.51,16.24,21.02,26.2,"21,290","26,020","33,770","43,710","54,490",67.6,83.5,23.4,High school diploma or equivalent,None,Health Technologists and Technicians,Healthcare
29-2091,Orthotists and Prosthetists,detailed,"8,330",34.01,"70,740",16.6,22.11,30.27,41.5,54.15,"34,530","46,000","62,970","86,320","112,620",8.5,11.5,35.5,Master's degree,None,Health Technologists and Technicians,Healthcare
29-2092,Hearing Aid Specialists,detailed,"5,170",23.03,"47,900",11.2,14.96,20.86,30.32,36.95,"23,300","31,120","43,400","63,060","76,850",5.3,6.6,25.2,High school diploma or equivalent,None,Health Technologists and Technicians,Healthcare
29-2099,"Health Technologists and Technicians, All Other",detailed,"88,990",21.62,"44,960",12.84,15.61,19.67,26.03,32.85,"26,710","32,460","40,900","54,150","68,320",90.4,114.6,26.7,High school diploma or equivalent,None,Health Technologists and Technicians,Healthcare
29-9011,Occupational Health and Safety Specialists,detailed,"62,830",33.2,"69,050",19.48,25.18,32.67,40.46,47.37,"40,530","52,380","67,960","84,160","98,520",62.9,67.1,6.6,Bachelor's degree,None,Other Healthcare Practitioners and Technical Occupations,Healthcare
29-9012,Occupational Health and Safety Technicians,detailed,"13,660",24.23,"50,390",13.65,17.33,22.78,29.31,36.46,"28,390","36,050","47,380","60,960","75,850",12.6,13.9,10.9,High school diploma or equivalent,None,Other Healthcare Practitioners and Technical Occupations,Healthcare
29-9091,Athletic Trainers,detailed,"22,340",*,"44,720",*,*,*,*,*,"26,120","34,290","42,790","53,180","66,060",22.9,27.8,21.2,Bachelor's degree,None,Other Healthcare Practitioners and Technical Occupations,Healthcare
29-9092,Genetic Counselors,detailed,"1,980",30.19,"62,800",15.94,23.6,30.57,36.53,43.85,"33,160","49,080","63,590","75,990","91,210",2.1,3,41.2,Master's degree,None,Other Healthcare Practitioners and Technical Occupations,Healthcare
29-9099,"Healthcare Practitioners and Technical Workers, All Other",detailed,"44,560",26.54,"55,210",12.48,16.46,23.37,34.33,46.08,"25,950","34,230","48,610","71,410","95,850",51.6,60.4,17.1,Bachelor's degree,None,Other Healthcare Practitioners and Technical Occupations,Healthcare
31-1011,Home Health Aides,detailed,"806,710",10.6,"22,050",8.03,8.78,10.1,11.59,14.17,"16,690","18,270","21,020","24,120","29,480",875.1,"1,299.30",48.5,Less than high school,None,"Nursing, Psychiatric, and Home Health Aides",Healthcare Support
31-1013,Psychiatric Aides,detailed,"75,340",12.98,"26,990",8.22,9.44,12.08,15.62,19.54,"17,110","19,630","25,120","32,500","40,650",82,86.8,6,High school diploma or equivalent,None,"Nursing, Psychiatric, and Home Health Aides",Healthcare Support
31-1014,Nursing Assistants,detailed,"1,427,830",12.51,"26,020",8.94,10.2,11.97,14.32,17.2,"18,600","21,210","24,890","29,780","35,780","1,479.80","1,792.00",21.1,Postsecondary non-degree award,None,"Nursing, Psychiatric, and Home Health Aides",Healthcare Support
31-1015,Orderlies,detailed,"52,030",12.66,"26,340",8.6,9.94,11.75,14.69,17.92,"17,880","20,660","24,440","30,550","37,270",54.6,63.6,16.6,High school diploma or equivalent,None,"Nursing, Psychiatric, and Home Health Aides",Healthcare Support
